,Species1,Species2,Rank,Similarity,Locus
0,UrsArc2.0,mBalAcu1,100,0.14513152687007735,TRB
1,UrsArc2.0,mBosTau,100,0.0,TRB
2,UrsArc2.0,mCamDro1,100,0.23061418588238441,TRB
3,UrsArc2.0,mCanLor1,100,0.6475819601667593,TRB
4,UrsArc2.0,mCorTow1.0,100,0.0,TRB
5,UrsArc2.0,mCynVol1,100,0.023841456158251888,TRB
6,UrsArc2.0,mDasNov1,100,0.0,TRB
7,UrsArc2.0,mDicBic1,100,0.4180242633348951,TRB
8,UrsArc2.0,mDipMer1.0,100,0.0,TRB
9,UrsArc2.0,mEleMax1,100,0.0,TRB
10,UrsArc2.0,mEptNil1,100,0.0,TRB
11,UrsArc2.0,mEriEur2,100,0.0,TRB
12,UrsArc2.0,mHetBru1,100,0.0,TRB
13,UrsArc2.0,mHipAmp2,100,0.14566742839204935,TRB
14,UrsArc2.0,mLemCat1,100,0.03279062098673126,TRB
15,UrsArc2.0,mLutLut1,100,0.6599427023539122,TRB
16,UrsArc2.0,mLynCan4,100,0.33280687646151014,TRB
17,UrsArc2.0,mLynRuf1,100,0.5805406376271988,TRB
18,UrsArc2.0,mManPen7,100,0.2086295263492309,TRB
19,UrsArc2.0,mMarMar1,100,0.8838233024951145,TRB
20,UrsArc2.0,mMelMel3,100,0.784236957088861,TRB
21,UrsArc2.0,mMicCal1.0,100,0.0,TRB
22,UrsArc2.0,mMirAng1,100,0.8388800393255362,TRB
23,UrsArc2.0,mMonDom1,100,0.0,TRB
24,UrsArc2.0,mMusAve1,100,0.0,TRB
25,UrsArc2.0,mMusErm1,100,0.8702376203917026,TRB
26,UrsArc2.0,mMusLut2,100,0.9186923298557514,TRB
27,UrsArc2.0,mMusNiv1,100,0.9167170142910908,TRB
28,UrsArc2.0,mMyoDau2,100,0.0,TRB
29,UrsArc2.0,mMyoYum1.0,100,0.0,TRB
30,UrsArc2.0,mNeoNeb1,100,0.582480849790832,TRB
31,UrsArc2.0,mNycCou1,100,0.0,TRB
32,UrsArc2.0,mOrcOrc1,100,0.05907522889359702,TRB
33,UrsArc2.0,mPerMan1.0,100,0.0,TRB
34,UrsArc2.0,mPhoSin1,100,0.09585473693534657,TRB
35,UrsArc2.0,mPleAur1,100,0.02920243989706523,TRB
36,UrsArc2.0,mPumCon1.1,100,0.46716462960507377,TRB
37,UrsArc2.0,mSorAra2,100,0.0,TRB
38,UrsArc2.0,mThoBot1.0,100,0.0,TRB
39,UrsArc2.0,mUrsAme1.0,100,0.9978404959882047,TRB
40,UrsArc2.0,mZalCal1,100,0.5869927406919206,TRB
41,mBalAcu1,mBosTau,100,0.017842449821629705,TRB
42,mBalAcu1,mCamDro1,100,0.32334639144510635,TRB
43,mBalAcu1,mCanLor1,100,0.15486755166969807,TRB
