Haplotype	Contig	Length	NumProdV	Order	LatinName	CommonName	sample	locus	R15_5	hmrc	pi_min	pi_mean	pi_max	sim_95	Simple_repeat	LINE/L1	LTR/ERVL-MaLR	LTR/ERVL	LTR/ERV1	Low_complexity
haploid	NW_026622930.1	537463	23	Carnivora	Ursus arctos	brown bear	UrsArc2.0	IGH	0.3155510239774645	medium	0.9193548387096774	94.68043750079555	0.9765886287625418	39.130434782608695	0.0105216545138921	0.3852153543592768	0.0099504524032351	0.0173686374689978	0.0088545630117794	0.0101067422315582
haploid	NW_026623100.1	180004	16	Carnivora	Ursus arctos	brown bear	UrsArc2.0	IGK	0.0	low	0.6686046511627907	83.08284991025675	0.9235668789808916	0.0	0.0163274149463345	0.1392302393280149	0.0182051509966445	0.0288160263105264	0.0049610008666474	0.0059165351881069
haploid	NW_026623030.1	1148887	47	Carnivora	Ursus arctos	brown bear	UrsArc2.0	IGL	0.3156576756460818	medium	0.6086956521739131	86.25973215581804	1.0	17.02127659574468	0.0157752677156239	0.2593701556375866	0.0081478857363691	0.0220500362524774	0.0162931602498766	0.0035669304291892
haploid	NW_026622985.1	139638	8	Carnivora	Ursus arctos	brown bear	UrsArc2.0	TRB	0.0	low	0.5730027548209367	69.34439965172366	0.939799331103679	0.0	0.0211547000100259	0.1408069436686289	0.0218923215743565	0.0147309471633795	0.0040748220398458	0.005578710666151
primary	SUPER_3	245272	15	Artiodactyla	Balaenoptera acutorostrata	minke whale	mBalAcu1	IGH	0.3644932972373528	medium	0.6066481994459834	87.54445968917835	0.9864406779661016	40.0	0.0182246648618676	0.2652973025865162	0.0150812159561629	0.0033717668547571	0.0394093088489513	0.001887700185916
primary	SUPER_12	173207	5	Artiodactyla	Balaenoptera acutorostrata	minke whale	mBalAcu1	IGK	0.0	low	0.7327586206896551	88.76560186164586	1.0	40.0	0.0170258707788946	0.3072970491954713	0.0292251467896794	0.0086947987090591	0.0166852378945423	0.0040240867863308
alternate	atg005705l_1	213365	16	Artiodactyla	Balaenoptera acutorostrata	minke whale	mBalAcu1	IGL	0.0	low	0.5706666666666667	85.86228693608842	0.9930795847750864	25.0	0.0132777165889438	0.1229020692240995	0.035338504440747	0.0606144400440559	0.0038994211796686	0.0052117263843648
primary	SUPER_3	225536	14	Artiodactyla	Balaenoptera acutorostrata	minke whale	mBalAcu1	TRA	0.0	low	0.547945205479452	77.7605895742637	0.9726962457337884	14.28571428571428	0.0122064770147559	0.1719548098751419	0.012627695800227	0.0600125922247446	0.0176246807604994	0.0036402170828603
primary	SUPER_7	191892	9	Artiodactyla	Balaenoptera acutorostrata	minke whale	mBalAcu1	TRB	0.0	low	0.5395095367847411	61.304973561705545	0.6436781609195402	0.0	0.0093698538761386	0.1238457048756592	0.0295530819419256	0.0179736518458299	0.0061961936922852	0.0019385904571321
maternal	21_O_hifiasm	669256	22	Artiodactyla	Bos taurus	cattle	mBosTau	IGH	0.438951611939228	medium	0.6406685236768802	94.65417734771219	1.0	59.09090909090909	0.0502229341238629	0.0917332082192763	0.0179318526841746	0.0015958019053994	0.0072737487598168	0.0008875527451378
paternal	11_H_hifiasm	225727	12	Artiodactyla	Bos taurus	cattle	mBosTau	IGK	0.0	low	0.6214689265536724	84.81340801370911	0.9387096774193548	0.0	0.0139859210462195	0.0982115564376437	0.0123069016998409	0.0064679900942288	0.0	0.0022859471839877
