,Species1,Species2,Rank,Similarity,Locus
0,UrsArc2.0,mBalAcu1,100,0.02908960838459833,IGK
1,UrsArc2.0,mBosTau,100,0.0,IGK
2,UrsArc2.0,mCamDro1,100,0.03711014943131112,IGK
3,UrsArc2.0,mCanLor1,100,0.3246158416757283,IGK
4,UrsArc2.0,mChiNiv1,100,0.0,IGK
5,UrsArc2.0,mCynVol1,100,0.0,IGK
6,UrsArc2.0,mDasNov1,100,0.0,IGK
7,UrsArc2.0,mDipMer1.0,100,0.0,IGK
8,UrsArc2.0,mEleMax1,100,0.0,IGK
9,UrsArc2.0,mEriEur2,100,0.0,IGK
10,UrsArc2.0,mHetBru1,100,0.0,IGK
11,UrsArc2.0,mHipAmp2,100,0.046720677887181636,IGK
12,UrsArc2.0,mLemCat1,100,0.03469305218385332,IGK
13,UrsArc2.0,mLutLut1,100,0.3929738001476474,IGK
14,UrsArc2.0,mLynCan4,100,0.2617081557398753,IGK
15,UrsArc2.0,mLynRuf1,100,0.2412951727591064,IGK
16,UrsArc2.0,mMacEug1,100,0.0,IGK
17,UrsArc2.0,mManPen7,100,0.014689056493922402,IGK
18,UrsArc2.0,mMarMar1,100,0.49566466525515396,IGK
19,UrsArc2.0,mMelMel3,100,0.35318430725131045,IGK
20,UrsArc2.0,mMicCal1.0,100,0.0,IGK
21,UrsArc2.0,mMirAng1,100,0.7220966242848452,IGK
22,UrsArc2.0,mMusAve1,100,0.0,IGK
23,UrsArc2.0,mMusLut2,100,0.4569438313339652,IGK
24,UrsArc2.0,mMusNiv1,100,0.4727367589938947,IGK
25,UrsArc2.0,mNeoNeb1,100,0.26305506606634327,IGK
26,UrsArc2.0,mNycCou1,100,0.0,IGK
27,UrsArc2.0,mOrcOrc1,100,0.0,IGK
28,UrsArc2.0,mPerMan1.0,100,0.0,IGK
29,UrsArc2.0,mPhoSin1,100,0.0,IGK
30,UrsArc2.0,mPumCon1.1,100,0.17949075894256727,IGK
31,UrsArc2.0,mSorAra2,100,0.0,IGK
32,UrsArc2.0,mThoBot1.0,100,0.0,IGK
33,UrsArc2.0,mUrsAme1.0,100,0.9924787136229928,IGK
34,UrsArc2.0,mZalCal1,100,0.4985797206725437,IGK
35,mBalAcu1,mBosTau,100,0.12311995685922708,IGK
36,mBalAcu1,mCamDro1,100,0.051719230766337686,IGK
37,mBalAcu1,mCanLor1,100,0.02357582520674282,IGK
38,mBalAcu1,mChiNiv1,100,0.0,IGK
39,mBalAcu1,mCynVol1,100,0.0,IGK
40,mBalAcu1,mDasNov1,100,0.015663485653468482,IGK
41,mBalAcu1,mDipMer1.0,100,0.0,IGK
42,mBalAcu1,mEleMax1,100,0.016211897143056986,IGK
43,mBalAcu1,mEriEur2,100,0.0,IGK
44,mBalAcu1,mHetBru1,100,0.0,IGK
45,mBalAcu1,mHipAmp2,100,0.216885904427199,IGK
46,mBalAcu1,mLemCat1,100,0.04281256752645663,IGK
47,mBalAcu1,mLutLut1,100,0.018765617801545804,IGK
48,mBalAcu1,mLynCan4,100,0.0,IGK
