Order	LatinName	CommonName	sample	locus	exp_area	pi_mean	size2	pair12	pairPN	#genes	12%pairs	12%genes	PN%pairs	PN%genes
Chiroptera	Myotis yumanensis	Yuma myotis	mMyoYum1.0p2	IGH	57.51292827439974	95.1976774079282	105	74	9	380	70.47619047619048	38.94736842105263	8.571428571428571	4.736842105263158
Primates	Lemur catta	Ring-tailed lemur	mLemCat1	IGH	87.04914214177016	97.211935732811	37	19	1	167	51.35135135135135	22.75449101796407	2.702702702702702	1.1976047904191618
Carnivora	Mustela nivalis	Least weasel	mMusNiv1	IGH	70.5853438331705	96.6093383284849	42	37	2	112	88.09523809523809	66.07142857142857	4.761904761904762	3.571428571428571
Carnivora	Zalophus californianus	California sea lion	mZalCal1	IGH	90.1447850429131	96.69529115662208	9	8	0	26	88.88888888888889	61.53846153846154	0.0	0.0
Cingulata	Dasypus novemcinctus	nine-banded armadillo	mDasNov1	IGH	88.6195048200672	99.61332443898186	173	172	1	350	99.42196531791907	98.28571428571428	0.5780346820809248	0.5714285714285714
Rodentia	Dipodomys merriami	Merriam’s Kangaroo Rat	mDipMer1.0	IGH	66.6461450887829	94.05431347398444	59	39	7	180	66.10169491525424	43.333333333333336	11.864406779661016	7.777777777777778
Chiroptera	Corynorhinus townsendii	Townsend's Big-eared Bat	mCorTow1.0	IGH	43.89665687785285	91.16047475425614	175	63	12	569	36.0	22.144112478031637	6.857142857142858	4.21792618629174
Rodentia	Thomomys bottae	Botta's pocket gopher	mThoBot1.0	IGH	78.85664306900455	96.50008205647389	48	42	3	131	87.5	64.12213740458014	6.25	4.580152671755725
Carnivora	Meles meles	European badger	mMelMel3	IGH	97.56865918125084	99.62004533595352	95	92	0	193	96.84210526315788	95.33678756476684	0.0	0.0
Rodentia	Microtus californicus	California Vole	mMicCal1.0	IGH	51.348633748006534	95.10836397954196	118	91	6	340	77.11864406779661	53.52941176470589	5.084745762711865	3.5294117647058822
Primates	Nycticebus coucang	slow loris	mNycCou1	IGH	88.59744423962337	97.07833604314268	33	33	1	77	100.0	85.71428571428571	3.0303030303030303	2.5974025974025974
Carnivora	Mirounga angustirostris	Northern Elephant Seal	mMirAng1	IGH	97.82097842637616	99.95418098510882	26	26	0	52	100.0	100.0	0.0	0.0
Chiroptera	Corynorhinus townsendi	Townsend's Big-eared Bat	mCorTow1.0p2	IGH	60.85982848093954	95.80447332869656	54	50	2	125	92.5925925925926	80.0	3.7037037037037033	3.2
Perissodactyla	Equus caballus	horse	mEquCab1	IGH	94.88360985754676	99.32704816901584	47	45	0	110	95.74468085106383	81.81818181818183	0.0	0.0
Pholidota	Manis pentadactyla	Chinese pangolin	mManPen7	IGH	99.39683789741618	100.0	33	33	0	66	100.0	100.0	0.0	0.0
Chiroptera	Myotis daubentonii	Daubenton's bat	mMyoDau2	IGH	62.03890016026688	80.48059901657594	76	2	29	229	2.631578947368421	1.7467248908296942	38.15789473684211	25.327510917030565
Carnivora	Puma concolor	Mountain Lion	mPumCon1.1	IGH	63.86225694793187	98.67870438044666	33	24	2	105	72.72727272727273	45.714285714285715	6.0606060606060606	3.8095238095238098
Chiroptera	Myotis yumanensis	Yuma myotis	mMyoYum1.0	IGH	55.60245631017089	92.73693845984126	107	97	10	281	90.65420560747664	69.03914590747331	9.345794392523365	7.11743772241993
Artiodactyla	Camelus dromedarius	dromedary	mCamDro1	IGH	85.09006662760154	99.00454924515708	22	22	0	58	100.0	75.86206896551724	0.0	0.0
Perissodactyla	Diceros bicornis	black rhinoceros	mDicBic1	IGH	74.63718515714197	96.79350896225684	137	130	3	337	94.8905109489051	77.1513353115727	2.18978102189781	1.7804154302670625
Primates	Nycticebus coucang	slow loris	mNycCou1	IGK	96.30403015558969	96.79896171563284	19	19	2	41	100.0	92.6829268292683	10.526315789473683	9.75609756097561
Rodentia	Thomomys bottae	Botta's pocket gopher	mThoBot1.0	IGK	56.207439159622425	94.86141027126487	156	115	14	440	73.71794871794873	52.27272727272727	8.974358974358974	6.363636363636363
Pholidota	Manis pentadactyla	Chinese pangolin	mManPen7	IGK	70.4668019474037	98.1017672865078	24	22	0	95	91.66666666666666	46.31578947368421	0.0	0.0
Carnivora	Neofelis nebulosa	Clouded leopard	mNeoNeb1	IGK	99.51218312033104	98.65884071967562	10	10	1	22	100.0	90.9090909090909	10.0	9.090909090909092
Perissodactyla	Equus caballus	horse	mEquCab1	IGK	100.0	100.0	31	31	0	62	100.0	100.0	0.0	0.0
Carnivora	Mirounga angustirostris	Northern Elephant Seal	mMirAng1	IGK	99.73887649049244	100.0	10	10	0	20	100.0	100.0	0.0	0.0
Artiodactyla	Bos taurus	cattle	mBosTau	IGK	97.62335407894938	94.16229403560465	11	11	2	28	100.0	78.57142857142857	18.181818181818183	14.285714285714285
Carnivora	Meles meles	European badger	mMelMel3	IGK	100.0	100.0	50	48	0	116	96.0	82.75862068965517	0.0	0.0
Primates	Lemur catta	Ring-tailed lemur	mLemCat1	IGK	99.66773114239592	97.44338966983952	12	12	0	27	100.0	88.88888888888889	0.0	0.0
Carnivora	Mustela nivalis	Least weasel	mMusNiv1	IGK	99.78621461730442	99.90880158582884	70	70	1	144	100.0	97.2222222222222	1.4285714285714286	1.3888888888888888
Carnivora	Puma concolor	Mountain Lion	mPumCon1.1	IGK	99.274679207311	99.70281750397262	12	12	0	25	100.0	96.0	0.0	0.0
Cingulata	Dasypus novemcinctus	nine-banded armadillo	mDasNov1	IGK	55.61514322869893	97.9072281836109	56	49	0	198	87.5	49.494949494949495	0.0	0.0
Carnivora	Zalophus californianus	California sea lion	mZalCal1	IGK	99.27816892687608	99.86842105263158	4	4	0	14	100.0	57.14285714285714	0.0	0.0
Artiodactyla	Hippopotamus amphibius kiboko	hippopotamus	mHipAmp2	IGK	90.2723951341829	98.85338890368104	17	17	0	37	100.0	91.8918918918919	0.0	0.0
Rodentia	Microtus californicus	California Vole	mMicCal1.0	IGK	61.854589323840486	94.73872820335198	45	43	2	101	95.55555555555556	85.14851485148515	4.444444444444445	3.96039603960396
Artiodactyla	Camelus dromedarius	dromedary	mCamDro1	IGK	99.60312841760692	98.61549177920944	10	10	0	22	100.0	90.9090909090909	0.0	0.0
Pholidota	Manis pentadactyla	Chinese pangolin	mManPen7	IGL	100.0	100.0	24	24	0	52	100.0	92.3076923076923	0.0	0.0
Rodentia	Chionomys nivalis	European snow vole	mChiNiv1	IGL	27.433366109975843	75.82064265044384	4	2	1	16	50.0	25.0	25.0	12.5
Artiodactyla	Bos taurus	cattle	mBosTau	IGL	91.29518332027544	98.43887313214032	35	32	0	110	91.42857142857144	58.18181818181818	0.0	0.0
Carnivora	Meles meles	European badger	mMelMel3	IGL	99.91310746173458	99.5034788108792	74	74	0	158	100.0	93.67088607594935	0.0	0.0
Primates	Lemur catta	Ring-tailed lemur	mLemCat1	IGL	98.96792528917751	100.0	135	135	0	282	100.0	95.74468085106383	0.0	0.0
Artiodactyla	Balaenoptera acutorostrata	minke whale	mBalAcu1	IGL	99.14544731749751	97.64661163592042	16	16	1	39	100.0	82.05128205128204	6.25	5.128205128205128
Carnivora	Mustela nivalis	Least weasel	mMusNiv1	IGL	84.86711218245757	97.89580724987567	69	69	4	139	100.0	99.28057553956836	5.797101449275362	5.755395683453238
Cingulata	Dasypus novemcinctus	nine-banded armadillo	mDasNov1	IGL	86.4104186504906	98.2631705303398	200	199	5	414	99.5	96.1352657004831	2.5	2.4154589371980677
Chiroptera	Myotis yumanensis	Yuma myotis	mMyoYum1.0	IGL	75.3864383663762	94.16975693704306	87	76	2	244	87.35632183908046	62.295081967213115	2.2988505747126435	1.639344262295082
Artiodactyla	Hippopotamus amphibius kiboko	hippopotamus	mHipAmp2	IGL	100.0	100.0	31	31	0	62	100.0	100.0	0.0	0.0
Carnivora	Puma concolor	Mountain Lion	mPumCon1.1	IGL	80.90181047362834	98.94357197085152	86	81	3	219	94.18604651162792	73.97260273972603	3.488372093023256	2.73972602739726
Rodentia	Microtus californicus	California Vole	mMicCal1.0	IGL	21.727089052614865	76.60731852837993	12	9	1	29	75.0	62.06896551724138	8.333333333333332	6.896551724137931
Artiodactyla	Camelus dromedarius	dromedary	mCamDro1	IGL	88.26193486660154	98.28436323664918	56	54	0	120	96.42857142857144	90.0	0.0	0.0
Chiroptera	Corynorhinus townsendii	Townsend's Big-eared Bat	mCorTow1.0	IGL	54.38062597405978	93.2969269461682	107	50	7	354	46.728971962616825	28.24858757062147	6.5420560747663545	3.954802259887006
Primates	Lemur catta	Ring-tailed lemur	mLemCat1	TRA	93.84815937574312	99.15410138017278	43	43	0	88	100.0	97.72727272727272	0.0	0.0
Carnivora	Mustela nivalis	Least weasel	mMusNiv1	TRA	95.60624711570016	98.07664335585258	36	36	2	74	100.0	97.2972972972973	5.555555555555555	5.405405405405405
Carnivora	Zalophus californianus	California sea lion	mZalCal1	TRA	98.89358586876784	99.89895333283518	27	27	0	54	100.0	100.0	0.0	0.0
Cingulata	Dasypus novemcinctus	nine-banded armadillo	mDasNov1	TRA	96.94809124794838	98.92923191804977	37	37	1	74	100.0	100.0	2.702702702702702	2.702702702702702
Rodentia	Dipodomys merriami	Merriam’s Kangaroo Rat	mDipMer1.0	TRA	91.8022904405537	99.27073746842956	26	26	0	55	100.0	94.54545454545456	0.0	0.0
Chiroptera	Corynorhinus townsendii	Townsend's Big-eared Bat	mCorTow1.0	TRA	93.2348865458333	98.7562411302608	31	29	0	76	93.5483870967742	76.31578947368422	0.0	0.0
Rodentia	Thomomys bottae	Botta's pocket gopher	mThoBot1.0	TRA	97.60182641478688	98.0824806398527	20	18	0	43	90.0	83.72093023255815	0.0	0.0
Carnivora	Meles meles	European badger	mMelMel3	TRA	97.49118759658892	99.83647882185149	35	35	0	71	100.0	98.59154929577466	0.0	0.0
Rodentia	Microtus californicus	California Vole	mMicCal1.0	TRA	88.84062710337304	98.817383378095	27	27	0	55	100.0	98.1818181818182	0.0	0.0
Primates	Nycticebus coucang	slow loris	mNycCou1	TRA	94.18660782956724	98.7470545267608	39	39	1	81	100.0	96.29629629629628	2.564102564102564	2.4691358024691357
Carnivora	Mirounga angustirostris	Northern Elephant Seal	mMirAng1	TRA	99.19326331079452	99.71039565485609	20	19	0	52	95.0	73.07692307692307	0.0	0.0
Artiodactyla	Hippopotamus amphibius kiboko	hippopotamus	mHipAmp2	TRA	93.94170930407566	98.38667288427943	70	69	1	155	98.57142857142858	89.03225806451613	1.4285714285714286	1.2903225806451613
Hyracoidea	Heterohyrax brucei	Yellow-spotted hyrax	mHetBru1	TRA	81.68632740426438	94.31853216863723	29	29	1	67	100.0	86.56716417910447	3.4482758620689653	2.9850746268656714
Pholidota	Manis pentadactyla	Chinese pangolin	mManPen7	TRA	99.78323797341872	100.0	17	17	0	34	100.0	100.0	0.0	0.0
Carnivora	Puma concolor	Mountain Lion	mPumCon1.1	TRA	99.55978469801708	100.0	29	29	0	58	100.0	100.0	0.0	0.0
Chiroptera	Plecotus auritus	brown big-eared bat	mPleAur1	TRA	94.04003353237124	95.91088113034286	24	24	2	60	100.0	80.0	8.333333333333332	6.666666666666667
Chiroptera	Myotis yumanensis	Yuma myotis	mMyoYum1.0	TRA	90.56582661076314	96.2712965443906	24	24	0	59	100.0	81.35593220338984	0.0	0.0
Carnivora	Mustela erminea	stoat	mMusErm1	TRA	94.51966856319302	97.52308725519964	35	34	1	75	97.14285714285714	90.66666666666666	2.857142857142857	2.666666666666667
Artiodactyla	Camelus dromedarius	dromedary	mCamDro1	TRA	93.59042152671957	98.89936634742055	36	32	0	84	88.88888888888889	76.19047619047619	0.0	0.0
Perissodactyla	Diceros bicornis	black rhinoceros	mDicBic1	TRA	88.28482859897552	98.055294579268	115	114	7	245	99.1304347826087	93.06122448979592	6.086956521739131	5.714285714285714
Artiodactyla	Bos taurus	cattle	mBosTau	TRB	94.859640559246	99.10320952245172	45	43	0	113	95.55555555555556	76.10619469026548	0.0	0.0
Primates	Lemur catta	Ring-tailed lemur	mLemCat1	TRB	95.09692553582347	96.44371177054612	13	13	0	30	100.0	86.66666666666667	0.0	0.0
Carnivora	Mustela nivalis	Least weasel	mMusNiv1	TRB	99.55205822820758	94.41107807009712	9	9	1	20	100.0	90.0	11.11111111111111	10.0
