,Species1,Species2,Rank,Similarity,Locus
0,UrsArc2.0,mBalAcu1,100,0.032970201861740565,IGL
1,UrsArc2.0,mBosTau,100,0.007309576213030364,IGL
2,UrsArc2.0,mCamDro1,100,0.010098249968838255,IGL
3,UrsArc2.0,mCanLor1,100,0.10109103910684879,IGL
4,UrsArc2.0,mChiNiv1,100,0.0,IGL
5,UrsArc2.0,mCorTow1.0,100,0.0051619841487479615,IGL
6,UrsArc2.0,mCynVol1,100,0.006128159579504411,IGL
7,UrsArc2.0,mDasNov1,100,0.0,IGL
8,UrsArc2.0,mDicBic1,100,0.02236184142477498,IGL
9,UrsArc2.0,mEleMax1,100,0.0,IGL
10,UrsArc2.0,mEptNil1,100,0.005458442148867142,IGL
11,UrsArc2.0,mEriEur2,100,0.0,IGL
12,UrsArc2.0,mHetBru1,100,0.0,IGL
13,UrsArc2.0,mHipAmp2,100,0.01097630385588108,IGL
14,UrsArc2.0,mLemCat1,100,0.011736947079083262,IGL
15,UrsArc2.0,mLutLut1,100,0.29794385755069835,IGL
16,UrsArc2.0,mLynCan4,100,0.17750576523504052,IGL
17,UrsArc2.0,mLynRuf1,100,0.1534054646119587,IGL
18,UrsArc2.0,mMacEug1,100,0.0,IGL
19,UrsArc2.0,mManPen7,100,0.03428520706528183,IGL
20,UrsArc2.0,mMarMar1,100,0.3225956425501724,IGL
21,UrsArc2.0,mMelMel3,100,0.28001834955810306,IGL
22,UrsArc2.0,mMicCal1.0,100,0.0,IGL
23,UrsArc2.0,mMirAng1,100,0.20953848312925438,IGL
24,UrsArc2.0,mMonDom1,100,0.0,IGL
25,UrsArc2.0,mMusAve1,100,0.0,IGL
26,UrsArc2.0,mMusErm1,100,0.26203709027855154,IGL
27,UrsArc2.0,mMusLut2,100,0.2411874226976518,IGL
28,UrsArc2.0,mMusNiv1,100,0.2481748773969377,IGL
29,UrsArc2.0,mMyoDau2,100,0.00712232523770631,IGL
30,UrsArc2.0,mMyoYum1.0,100,0.0064215103625101366,IGL
31,UrsArc2.0,mNeoNeb1,100,0.1740345236526073,IGL
32,UrsArc2.0,mNycCou1,100,0.0,IGL
33,UrsArc2.0,mOrcOrc1,100,0.04226887920144142,IGL
34,UrsArc2.0,mPerMan1.0,100,0.0,IGL
35,UrsArc2.0,mPleAur1,100,0.005554730536204542,IGL
36,UrsArc2.0,mPumCon1.1,100,0.14370331626567318,IGL
37,UrsArc2.0,mSorAra2,100,0.0,IGL
38,UrsArc2.0,mZalCal1,100,0.41577604131252566,IGL
39,mBalAcu1,mBosTau,100,0.07453679176271735,IGL
40,mBalAcu1,mCamDro1,100,0.26629887283094444,IGL
41,mBalAcu1,mCanLor1,100,0.030720172328195745,IGL
42,mBalAcu1,mChiNiv1,100,0.0,IGL
43,mBalAcu1,mCorTow1.0,100,0.01474569763806596,IGL
44,mBalAcu1,mCynVol1,100,0.01819517087158237,IGL
45,mBalAcu1,mDasNov1,100,0.0,IGL
46,mBalAcu1,mDicBic1,100,0.018177984351205496,IGL
47,mBalAcu1,mEleMax1,100,0.01984694866858809,IGL
48,mBalAcu1,mEptNil1,100,0.014901399524040132,IGL
49,mBalAcu1,mEriEur2,100,0.0,IGL
50,mBalAcu1,mHetBru1,100,0.0,IGL
51,mBalAcu1,mHipAmp2,100,0.3778381832047928,IGL
52,mBalAcu1,mLemCat1,100,0.019990240442493996,IGL
53,mBalAcu1,mLutLut1,100,0.0368320054587922,IGL
54,mBalAcu1,mLynCan4,100,0.04428786452572344,IGL
55,mBalAcu1,mLynRuf1,100,0.032051713926596816,IGL
56,mBalAcu1,mMacEug1,100,0.0,IGL
57,mBalAcu1,mManPen7,100,0.022010991102763913,IGL
58,mBalAcu1,mMarMar1,100,0.03809605314094993,IGL
59,mBalAcu1,mMelMel3,100,0.03409140885900018,IGL
60,mBalAcu1,mMicCal1.0,100,0.0,IGL
61,mBalAcu1,mMirAng1,100,0.03166665288864624,IGL
62,mBalAcu1,mMonDom1,100,0.0,IGL
63,mBalAcu1,mMusAve1,100,0.0,IGL
64,mBalAcu1,mMusErm1,100,0.035951126980852746,IGL
65,mBalAcu1,mMusLut2,100,0.03569534954587694,IGL
66,mBalAcu1,mMusNiv1,100,0.03962136440009707,IGL
67,mBalAcu1,mMyoDau2,100,0.018531307053906446,IGL
68,mBalAcu1,mMyoYum1.0,100,0.01779317919288953,IGL
69,mBalAcu1,mNeoNeb1,100,0.015931626429371702,IGL
70,mBalAcu1,mNycCou1,100,0.0,IGL
71,mBalAcu1,mOrcOrc1,100,0.9067488432141194,IGL
72,mBalAcu1,mPerMan1.0,100,0.0,IGL
73,mBalAcu1,mPleAur1,100,0.015093939183840534,IGL
74,mBalAcu1,mPumCon1.1,100,0.054949865646424144,IGL
75,mBalAcu1,mSorAra2,100,0.0,IGL
76,mBalAcu1,mZalCal1,100,0.04598594449369581,IGL
77,mBosTau,mCamDro1,100,0.018857148136941247,IGL
78,mBosTau,mCanLor1,100,0.00650307260291747,IGL
79,mBosTau,mChiNiv1,100,0.0,IGL
80,mBosTau,mCorTow1.0,100,0.0,IGL
81,mBosTau,mCynVol1,100,0.0071135640801352155,IGL
82,mBosTau,mDasNov1,100,0.0,IGL
83,mBosTau,mDicBic1,100,0.0,IGL
84,mBosTau,mEleMax1,100,0.0,IGL
85,mBosTau,mEptNil1,100,0.0,IGL
86,mBosTau,mEriEur2,100,0.0,IGL
87,mBosTau,mHetBru1,100,0.0,IGL
88,mBosTau,mHipAmp2,100,0.014216848776180574,IGL
89,mBosTau,mLemCat1,100,0.008319944445840197,IGL
90,mBosTau,mLutLut1,100,0.00696141327926377,IGL
91,mBosTau,mLynCan4,100,0.008124203531473823,IGL
92,mBosTau,mLynRuf1,100,0.0,IGL
93,mBosTau,mMacEug1,100,0.0,IGL
94,mBosTau,mManPen7,100,0.0,IGL
95,mBosTau,mMarMar1,100,0.006508399855753712,IGL
96,mBosTau,mMelMel3,100,0.0,IGL
97,mBosTau,mMicCal1.0,100,0.0,IGL
98,mBosTau,mMirAng1,100,0.0,IGL
99,mBosTau,mMonDom1,100,0.0,IGL
100,mBosTau,mMusAve1,100,0.0,IGL
101,mBosTau,mMusErm1,100,0.006520445682322598,IGL
102,mBosTau,mMusLut2,100,0.0068069687685607195,IGL
