,Species1,Species2,Rank,Similarity,Locus
0,mBalAcu1,mBosTau,100,0.11886375652594408,TRA
1,mBalAcu1,mCamDro1,100,0.18672854780057813,TRA
2,mBalAcu1,mCanLor1,100,0.04389462450097989,TRA
3,mBalAcu1,mChiNiv1,100,0.0,TRA
4,mBalAcu1,mCorTow1.0,100,0.0,TRA
5,mBalAcu1,mCynVol1,100,0.08300594601552044,TRA
6,mBalAcu1,mDasNov1,100,0.015031532946381489,TRA
7,mBalAcu1,mDicBic1,100,0.29519618782014057,TRA
8,mBalAcu1,mDipMer1.0,100,0.0,TRA
9,mBalAcu1,mEleMax1,100,0.0,TRA
10,mBalAcu1,mEptNil1,100,0.0,TRA
11,mBalAcu1,mEriEur2,100,0.0,TRA
12,mBalAcu1,mHetBru1,100,0.0,TRA
13,mBalAcu1,mHipAmp2,100,0.45454055217613953,TRA
14,mBalAcu1,mLemCat1,100,0.08312026336534908,TRA
15,mBalAcu1,mLutLut1,100,0.0,TRA
16,mBalAcu1,mLynCan4,100,0.06246265550721198,TRA
17,mBalAcu1,mLynRuf1,100,0.0211401184816696,TRA
18,mBalAcu1,mManPen7,100,0.032599074017025845,TRA
19,mBalAcu1,mMarMar1,100,0.01789756669435029,TRA
20,mBalAcu1,mMelMel3,100,0.018792936337648693,TRA
21,mBalAcu1,mMicCal1.0,100,0.0,TRA
22,mBalAcu1,mMirAng1,100,0.057185860787381824,TRA
23,mBalAcu1,mMusErm1,100,0.0,TRA
24,mBalAcu1,mMusLut2,100,0.0,TRA
25,mBalAcu1,mMusNiv1,100,0.0,TRA
26,mBalAcu1,mMyoDau2,100,0.0,TRA
27,mBalAcu1,mMyoYum1.0,100,0.0,TRA
28,mBalAcu1,mNeoNeb1,100,0.05817985767155712,TRA
29,mBalAcu1,mNycCou1,100,0.0,TRA
30,mBalAcu1,mOrcOrc1,100,0.4632045377375832,TRA
31,mBalAcu1,mPerMan1.0,100,0.0,TRA
32,mBalAcu1,mPleAur1,100,0.0,TRA
33,mBalAcu1,mPumCon1.1,100,0.04618129393448601,TRA
34,mBalAcu1,mSorAra2,100,0.0,TRA
35,mBalAcu1,mThoBot1.0,100,0.0,TRA
36,mBalAcu1,mZalCal1,100,0.04660831402283688,TRA
37,mBosTau,mCamDro1,100,0.06913250310250559,TRA
38,mBosTau,mCanLor1,100,0.0,TRA
39,mBosTau,mChiNiv1,100,0.0,TRA
40,mBosTau,mCorTow1.0,100,0.005867938693187436,TRA
41,mBosTau,mCynVol1,100,0.005904013571037004,TRA
42,mBosTau,mDasNov1,100,0.0,TRA
43,mBosTau,mDicBic1,100,0.03739666985616531,TRA
44,mBosTau,mDipMer1.0,100,0.0,TRA
45,mBosTau,mEleMax1,100,0.0,TRA
46,mBosTau,mEptNil1,100,0.0,TRA
47,mBosTau,mEriEur2,100,0.0,TRA
48,mBosTau,mHetBru1,100,0.0,TRA
49,mBosTau,mHipAmp2,100,0.1650998481869288,TRA
50,mBosTau,mLemCat1,100,0.0,TRA
51,mBosTau,mLutLut1,100,0.0,TRA
52,mBosTau,mLynCan4,100,0.0,TRA
53,mBosTau,mLynRuf1,100,0.006158769288764066,TRA
54,mBosTau,mManPen7,100,0.005072332040698316,TRA
55,mBosTau,mMarMar1,100,0.007765446348077129,TRA
