,Species1,Species2,Rank,Similarity,Locus
0,UrsArc2.0,mBalAcu1,100,0.014586800527090863,IGH
1,UrsArc2.0,mBosTau,100,0.01416404997980689,IGH
2,UrsArc2.0,mCamDro1,100,0.017206302418902572,IGH
3,UrsArc2.0,mCanLor1,100,0.05859259662524864,IGH
4,UrsArc2.0,mChiNiv1,100,0.0,IGH
5,UrsArc2.0,mCorTow1.0,100,0.0,IGH
6,UrsArc2.0,mCynVol1,100,0.006704066583526251,IGH
7,UrsArc2.0,mDasNov1,100,0.0,IGH
8,UrsArc2.0,mDicBic1,100,0.0212164186847922,IGH
9,UrsArc2.0,mDipMer1.0,100,0.0,IGH
10,UrsArc2.0,mEleMax1,100,0.0,IGH
11,UrsArc2.0,mEptNil1,100,0.007626810778924319,IGH
12,UrsArc2.0,mEriEur2,100,0.0,IGH
13,UrsArc2.0,mHetBru1,100,0.0,IGH
14,UrsArc2.0,mHipAmp2,100,0.010922418237660068,IGH
15,UrsArc2.0,mLemCat1,100,0.0,IGH
16,UrsArc2.0,mLutLut1,100,0.19263091797483614,IGH
17,UrsArc2.0,mLynCan4,100,0.03443191941327342,IGH
18,UrsArc2.0,mLynRuf1,100,0.030765659298132374,IGH
19,UrsArc2.0,mMacEug1,100,0.0,IGH
20,UrsArc2.0,mManPen7,100,0.016809287631601586,IGH
21,UrsArc2.0,mMarMar1,100,0.21167292714162567,IGH
22,UrsArc2.0,mMelMel3,100,0.17858797976260007,IGH
23,UrsArc2.0,mMicCal1.0,100,0.0,IGH
24,UrsArc2.0,mMirAng1,100,0.17307828397690866,IGH
25,UrsArc2.0,mMonDom1,100,0.0,IGH
26,UrsArc2.0,mMusAve1,100,0.0,IGH
27,UrsArc2.0,mMusLut2,100,0.1276473656453198,IGH
28,UrsArc2.0,mMusNiv1,100,0.13706298683755988,IGH
29,UrsArc2.0,mMyoDau2,100,0.0,IGH
30,UrsArc2.0,mMyoYum1.0,100,0.00714621653514593,IGH
31,UrsArc2.0,mNeoNeb1,100,0.019069653991130756,IGH
32,UrsArc2.0,mNycCou1,100,0.0,IGH
33,UrsArc2.0,mOrcOrc1,100,0.013187214693845104,IGH
34,UrsArc2.0,mPerMan1.0,100,0.0,IGH
35,UrsArc2.0,mPhoSin1,100,0.0,IGH
36,UrsArc2.0,mPleAur1,100,0.0,IGH
37,UrsArc2.0,mPumCon1.1,100,0.016084510102276135,IGH
38,UrsArc2.0,mSorAra2,100,0.0,IGH
39,UrsArc2.0,mThoBot1.0,100,0.0,IGH
40,UrsArc2.0,mUrsAme1.0,100,0.910612018939766,IGH
41,UrsArc2.0,mZalCal1,100,0.15850743720432325,IGH
42,mBalAcu1,mBosTau,100,0.04413777233983312,IGH
43,mBalAcu1,mCamDro1,100,0.08355326645367817,IGH
44,mBalAcu1,mCanLor1,100,0.0,IGH
45,mBalAcu1,mChiNiv1,100,0.0,IGH
46,mBalAcu1,mCorTow1.0,100,0.0,IGH
47,mBalAcu1,mCynVol1,100,0.0,IGH
48,mBalAcu1,mDasNov1,100,0.0,IGH
49,mBalAcu1,mDicBic1,100,0.11139984830845998,IGH
50,mBalAcu1,mDipMer1.0,100,0.0,IGH
51,mBalAcu1,mEleMax1,100,0.0,IGH
52,mBalAcu1,mEptNil1,100,0.0,IGH
