Subject	Haplotype	Locus	Contig	StartPos	EndPos	Length	QualityPass	QType	QType_comment	Selected
UrsArc2.0	haploid	IGH	NW_026622930.1	128304	665767	537463	True	manually selected	haplotype 1	True
UrsArc2.0	haploid	IGH	NW_026623059.1	65272	602517	537245	True	manually selected	haplotype 2	False
UrsArc2.0	haploid	IGK	NW_026623100.1	48938844	49118848	180004	True			True
UrsArc2.0	haploid	IGL	NW_026623030.1	437708	1586595	1148887	True	manually selected	haplotype 1	True
UrsArc2.0	haploid	IGL	NW_026623055.1	269151	745247	476096	False			False
UrsArc2.0	haploid	IGL	NW_026623055.1	1065443	1385624	320181	False			False
UrsArc2.0	haploid	TRA	NW_026622841.1	58177402	58415015	237613	False			False
UrsArc2.0	haploid	TRA	NW_026623008.1	31080099	31691297	611198	False			False
UrsArc2.0	haploid	TRA	NW_026623053.1	76629	222908	146279	False			False
UrsArc2.0	haploid	TRA	NW_026623053.1	2398931	2479037	80106	False			False
UrsArc2.0	haploid	TRA	NW_026623053.1	4680717	5156276	475559	False			False
UrsArc2.0	haploid	TRB	NW_026622985.1	90463469	90603107	139638	True			True
mBalAcu1	alternate	IGH	atg002784l_1	0	139876	139876	False			False
mBalAcu1	alternate	IGH	atg004985l_1	4334	132481	128147	False			False
mBalAcu1	primary	IGH	SUPER_3	183552918	183798190	245272	True			True
mBalAcu1	primary	IGK	SUPER_12	13381300	13554507	173207	True			True
mBalAcu1	alternate	IGL	atg005705l_1	79637	293002	213365	True			True
mBalAcu1	primary	IGL	SUPER_13	68089086	68302039	212953	True			False
mBalAcu1	alternate	TRA	atg003519l_1	249136	429298	180162	True			False
mBalAcu1	primary	TRA	SUPER_3	105181629	105407165	225536	True			True
mBalAcu1	alternate	TRB	atg002222l_1	309024	410544	101520	False			False
mBalAcu1	alternate	TRB	atg011006l_1	0	90270	90270	False			False
mBalAcu1	primary	TRB	SUPER_7	12632581	12824473	191892	True			True
mCamDro1	haplotype1	IGH	SUPER_5	93636587	93735141	98554	False			False
mCamDro1	haplotype1	IGH	SUPER_5	94152115	94566808	414693	True	manually selected		True
mCamDro1	haplotype2	IGH	SUPER_5	95663371	95761924	98553	False			False
mCamDro1	haplotype2	IGH	SUPER_5	96134471	96430282	295811	True	manually selected		False
mCamDro1	haplotype1	IGK	SUPER_33	13756873	13869517	112644	True			False
mCamDro1	haplotype2	IGK	SUPER_33	15883098	15995757	112659	True			True
mCamDro1	haplotype1	IGL	SUPER_31	3641357	4066266	424909	True			True
mCamDro1	haplotype2	IGL	SUPER_31	2289453	2662330	372877	True			False
mCamDro1	haplotype1	TRA	SUPER_5	30592623	30995626	403003	True			False
mCamDro1	haplotype2	TRA	SUPER_5	32425261	33014898	589637	True			True
mCamDro1	haplotype1	TRB	SUPER_7	10757386	11075157	317771	True			True
mCamDro1	haplotype2	TRB	SUPER_7	10748528	10915274	166746	True			False
mCanLor1	alternate	IGH	atg000251l_1	77506	1366237	1288731	False			False
mCanLor1	alternate	IGH	atg000600l_1	8110	29450	21340	False			False
mCanLor1	primary	IGH	SUPER_8	83919	2599448	2515529	True			True
mCanLor1	alternate	IGK	atg002311l_1	189799	426878	237079	True			False
mCanLor1	primary	IGK	SUPER_17	26629278	26937830	308552	True			True
mCanLor1	alternate	IGL	atg000054l_1	2068	1792494	1790426	False			False
mCanLor1	alternate	IGL	atg000362l_1	0	583827	583827	False			False
mCanLor1	primary	IGL	SUPER_26	7758005	12468269	4710264	True	manually selected		True
mCanLor1	primary	IGL	SUPER_26	16478465	16557978	79513	False			False
mCanLor1	primary	TRA	SUPER_8	73028199	73478013	449814	True			True
mCanLor1	primary	TRB	SUPER_16	54884141	55118877	234736	True			True
mChiNiv1	primary	IGH	SUPER_10	6693330	13942261	7248931	True			True
mChiNiv1	alternate	IGK	atg000016l_1	7568	579781	572213	False			False
mChiNiv1	alternate	IGK	atg000800l_1	0	746462	746462	False			False
mChiNiv1	alternate	IGK	atg001085l_1	21489	198629	177140	False			False
mChiNiv1	alternate	IGK	atg001434l_1	0	127566	127566	False			False
mChiNiv1	alternate	IGK	atg002242l_1	15624	113095	97471	False			False
mChiNiv1	alternate	IGK	atg002482l_1	51513	403083	351570	False			False
mChiNiv1	primary	IGK	SUPER_1	80421617	81263484	841867	False			False
mChiNiv1	primary	IGK	SUPER_1	81583877	83119183	1535306	False			False
mChiNiv1	primary	IGK	SUPER_1	80421617	83119183	2697566	True	manually selected	merged	True
mChiNiv1	alternate	IGL	atg000166l_1	787940	1457232	669292	True			True
mChiNiv1	primary	IGL	SUPER_3	74550800	74866547	315747	True			False
mChiNiv1	alternate	TRA	atg000998l_1	40688	584607	543919	False			False
mChiNiv1	alternate	TRA	atg001504l_1	0	385570	385570	False			False
mChiNiv1	primary	TRA	SUPER_12	56894130	57497302	603172	False			False
mChiNiv1	primary	TRA	SUPER_12	61173919	62256528	1082609	False			False
mChiNiv1	primary	TRA	SUPER_12	56894130	62256528	5362398	True	manually selected	merged	True
mCorTow1.0	haplotype1	IGH	JAPDVT010000001.1	0	1291373	1291373	True	manually selected	haplotype 1	False
mCorTow1.0	haplotype1	IGH	JAPDVT010000015.1	2231020	2851057	620037	True	manually selected	haplotype 2	False
mCorTow1.0	haplotype1	IGH	JAPDVT010000162.1	0	31340	31340	False			False
mCorTow1.0	haplotype2	IGH	JAPDVU010000001.1	235726307	237256654	1530347	True	manually selected	haplotype 1	True
mCorTow1.0	haplotype2	IGH	JAPDVU010000016.1	3906013	4780631	874618	True	manually selected	haplotype 2	False
mCorTow1.0	haplotype1	IGL	JAPDVT010000014.1	2301409	3127458	826049	True			False
mCorTow1.0	haplotype2	IGL	JAPDVU010000014.1	27090608	28117564	1026956	True			True
mCorTow1.0	haplotype1	TRA	JAPDVT010000001.1	79046959	79914735	867776	True			False
mCorTow1.0	haplotype2	TRA	JAPDVU010000001.1	157419290	158320986	901696	True			True
mCorTow1.0	haplotype1	TRB	JAPDVT010000004.1	135436454	135667766	231312	True			False
mCorTow1.0	haplotype2	TRB	JAPDVU010000004.1	133412130	133644950	232820	True			True
mCynVol1	alternate	IGH	atg000034l_1	7158830	7695648	536818	False			False
mCynVol1	alternate	IGH	hap_ptg000193l_1_1	1759	168908	167149	False			False
mCynVol1	primary	IGH	SUPER_3	184871482	186966783	2095301	True			True
mCynVol1	alternate	IGK	atg000633l_1	66047	845504	779457	False			False
mCynVol1	alternate	IGK	atg003215l_1	0	26092	26092	False			False
mCynVol1	primary	IGK	SUPER_14	83741590	85265685	1524095	True			True
mCynVol1	alternate	IGL	atg000889l_1	2971	409891	406920	False			False
mCynVol1	alternate	IGL	atg000988l_1	10642	88450	77808	False			False
mCynVol1	alternate	IGL	atg001662l_1	18873	100438	81565	False			False
mCynVol1	primary	IGL	SUPER_2	205581490	207066377	1484887	True			True
mCynVol1	alternate	TRA	atg000321l_1	0	194303	194303	False			False
mCynVol1	alternate	TRA	atg000373l_1	670276	1337101	666825	False			False
mCynVol1	primary	TRA	SUPER_3	107064456	108072040	1007584	True			True
mCynVol1	alternate	TRB	atg000336l_1	563960	1000134	436174	True			False
mCynVol1	primary	TRB	SUPER_6	14718057	15160757	442700	True			True
mDasNov1	haplotype1	IGH	SUPER_19	51591798	56370770	4778972	False			False
mDasNov1	haplotype1	IGH	SUPER_19	56678932	57018182	339250	False			False
mDasNov1	haplotype1	IGH	SUPER_19	57456310	58468307	1011997	False			False
mDasNov1	haplotype1	IGH	SUPER_19	58751059	59240953	489894	False			False
mDasNov1	haplotype1	IGH	SUPER_19	59563150	59869078	305928	False			False
mDasNov1	haplotype1	IGH	SUPER_19	60168470	63439127	3270657	False			False
mDasNov1	haplotype1	IGH	SUPER_19	63763381	64438852	675471	False			False
mDasNov1	haplotype1	IGH	SUPER_19	51591798	64438852	12847054	True	manually selected	merged	False
mDasNov1	haplotype2	IGH	SUPER_19	53932143	58725282	4793139	False			False
mDasNov1	haplotype2	IGH	SUPER_19	59033464	59372695	339231	False			False
mDasNov1	haplotype2	IGH	SUPER_19	59810798	60822791	1011993	False			False
mDasNov1	haplotype2	IGH	SUPER_19	61105538	61605507	499969	False			False
mDasNov1	haplotype2	IGH	SUPER_19	61927648	62233732	306084	False			False
mDasNov1	haplotype2	IGH	SUPER_19	62533149	65818545	3285396	False			False
mDasNov1	haplotype2	IGH	SUPER_19	66138299	66813148	674849	False			False
mDasNov1	haplotype2	IGH	SUPER_19	53932143	66813148	12881005	True	manually selected	merged	True
mDasNov1	haplotype1	IGK	SUPER_17	79024663	81809887	2785224	False			False
mDasNov1	haplotype1	IGK	SUPER_17	82258833	82865207	606374	False			False
mDasNov1	haplotype1	IGK	SUPER_17	83206016	85722474	2516458	False			False
mDasNov1	haplotype1	IGK	SUPER_17	87856445	87918315	61870	False			False
mDasNov1	haplotype1	IGK	SUPER_17	88276850	88539995	263145	False			False
mDasNov1	haplotype1	IGK	SUPER_17	88857258	90112637	1255379	False			False
mDasNov1	haplotype1	IGK	SUPER_17	90561598	90626985	65387	False			False
mDasNov1	haplotype1	IGK	SUPER_17	79024663	90626985	11602322	True	manually selected	merged	False
mDasNov1	haplotype1	IGK	scaffold_152	980669	1083519	102850	False			False
mDasNov1	haplotype2	IGK	SUPER_17	81665339	83088282	1422943	False			False
mDasNov1	haplotype2	IGK	SUPER_17	83537714	83671179	133465	False			False
mDasNov1	haplotype2	IGK	SUPER_17	84003288	85157491	1154203	False			False
mDasNov1	haplotype2	IGK	SUPER_17	85606436	86212810	606374	False			False
mDasNov1	haplotype2	IGK	SUPER_17	86581511	87188355	606844	False			False
mDasNov1	haplotype2	IGK	SUPER_17	87824314	88544269	719955	False			False
mDasNov1	haplotype2	IGK	SUPER_17	88971409	89835916	864507	False			False
mDasNov1	haplotype2	IGK	SUPER_17	90330318	91820575	1490257	False			False
mDasNov1	haplotype2	IGK	SUPER_17	92276738	92519982	243244	False			False
mDasNov1	haplotype2	IGK	SUPER_17	94685108	94746966	61858	False			False
mDasNov1	haplotype2	IGK	SUPER_17	95107126	95416036	308910	False			False
mDasNov1	haplotype2	IGK	SUPER_17	95743139	97589763	1846624	False			False
mDasNov1	haplotype2	IGK	SUPER_17	98037438	98102835	65397	False			False
mDasNov1	haplotype2	IGK	SUPER_17	81665339	98102835	16437496	True	manually selected	merged	True
mDasNov1	haplotype2	IGK	scaffold_373	10119	54427	44308	False			False
mDasNov1	haplotype1	IGL	SUPER_19	39620103	45256370	5636267	True			False
mDasNov1	haplotype2	IGL	SUPER_19	41238935	47059792	5820857	True			True
mDasNov1	haplotype1	TRA	SUPER_3	92513926	93560716	1046790	True			True
mDasNov1	haplotype2	TRA	SUPER_3	93843951	94888709	1044758	True			False
mDasNov1	haplotype1	TRB	SUPER_5	121567311	121931408	364097	True			False
mDasNov1	haplotype2	TRB	SUPER_5	122150633	122535373	384740	True			True
mDasNov1	haplotype1	TRG	SUPER_5	19937923	20227856	289933	True			False
mDasNov1	haplotype2	TRG	SUPER_5	20137894	20427826	289932	True			False
mDicBic1	maternal	IGH	SUPER_24	50405033	52041140	1636107	True			False
mDicBic1	paternal	IGH	scaffold_22	50389604	52430468	2040864	True			True
mDicBic1	maternal	IGK	SUPER_12	2105412	2563758	458346	False			False
mDicBic1	maternal	IGK	SUPER_40	19902876	20400859	497983	False			False
mDicBic1	paternal	IGK	scaffold_46	18387818	18882202	494384	False			False
mDicBic1	paternal	IGK	scaffold_9	5550989	6009629	458640	False			False
mDicBic1	maternal	IGL	SUPER_35	24094324	24129110	34786	False			False
mDicBic1	maternal	IGL	SUPER_35	25451234	26961498	1510264	True	manually selected		False
mDicBic1	paternal	IGL	scaffold_33	24108816	24143603	34787	False			False
mDicBic1	paternal	IGL	scaffold_33	25465682	27154872	1689190	True	manually selected		True
mDicBic1	maternal	TRA	SUPER_5	25444570	27773120	2328550	True			False
mDicBic1	paternal	TRA	scaffold_11	48258465	50588605	2330140	True			True
mDicBic1	maternal	TRB	SUPER_3	89424355	90117717	693362	True			False
